id,brand,line_id,color_no,color_name,image_url,pattern_id,pattern_url,pc_season,review_count,L,a,b,hue,saturation,brightness,pigmentation,girly,makeup_intensity,konare,sweetness,korean,notes,status,spatial_spread,bg_adjacency,aspect,is_container,line_category,x20_00_pigmentation,x20_01_vivid,x20_02_transparency,x20_03_glossiness,x20_04_matte_finish,x20_05_velvet_finish,x20_06_moisture,x20_07_durability,x20_08_blur_effect,x20_09_juicy_feel,x20_10_cool_tone,x20_11_warm_tone,x20_12_light_color,x20_13_deep_color,x20_14_everyday_use,x20_15_girly,x20_16_konare,x20_17_sweetness,x20_18_korean,x20_19_mature
rmd_the_juicy_lasting_01,rom&nd,the_juicy_lasting,1,ポメロスキン,https://cloudflare.lipscosme.com/image/8cf22155add736274c1c1226-1740115256.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415645,https://lipscosme.com/product_patterns/415645,"イエベ春,イエベ秋",,61.71,31.28,31.08,,,,,,,,,,"sat=0.55, hue=15°, size=0.20, edge=0.04, spread=0.232, adj=0.00, aspect=1.58, container=False",auto_low,0.2319,0.0027,1.580,False,tint,0.7349,0.8819,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0000,0.7652,0.5428,0.0000,0.1302,0.5814,0.0154,0.6206,0.1495,0.0000
rmd_the_juicy_lasting_02,rom&nd,the_juicy_lasting,2,ヌカダミア,https://cloudflare.lipscosme.com/image/20f1250dceb5d4821b6d5583-1740115222.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415646,https://lipscosme.com/product_patterns/415646,"イエベ秋,ブルベ夏",,46.28,36.54,23.93,,,,,,,,,,"sat=0.59, hue=6°, size=0.19, edge=0.04, spread=0.190, adj=0.02, aspect=1.56, container=False",auto_low,0.1903,0.0159,1.560,False,tint,0.7280,0.8736,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0000,0.8298,0.1570,0.0930,0.2114,0.1824,0.0267,0.5160,0.2632,0.0755
rmd_the_juicy_lasting_03,rom&nd,the_juicy_lasting,3,ベアーグレープ,https://cloudflare.lipscosme.com/image/c9d8fd385f445c30cdf79a42-1740115179.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415647,https://lipscosme.com/product_patterns/415647,ブルベ夏,,53.70,38.94,10.00,,,,,,,,,,"sat=0.49, hue=352°, size=0.24, edge=0.05, spread=0.235, adj=0.01, aspect=1.55, container=False",auto_low,0.2352,0.0085,1.550,False,tint,0.6701,0.8041,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.2162,0.8040,0.3425,0.0000,0.5150,0.3855,0.1009,0.5979,0.6211,0.0000
rmd_the_juicy_lasting_04,rom&nd,the_juicy_lasting,4,フィグフィグ,https://cloudflare.lipscosme.com/image/a127310b57c669930163ed2a-1740115128.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415648,https://lipscosme.com/product_patterns/415648,"ブルベ夏,イエベ春",,37.37,45.95,13.70,,,,,,,,,,"sat=0.69, hue=349°, size=0.26, edge=0.04, spread=0.249, adj=0.01, aspect=1.56, container=False",auto_low,0.2488,0.0072,1.558,False,tint,0.7991,0.9590,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.2222,0.9586,0.0000,0.3158,0.0000,0.0000,0.0000,0.5292,0.0000,0.2552
rmd_the_juicy_lasting_05,rom&nd,the_juicy_lasting,5,ジュジュブ,https://cloudflare.lipscosme.com/image/04dd9f63eadf4c62d4ed9d10-1740115082.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415649,https://lipscosme.com/product_patterns/415649,"イエベ春,ブルベ夏",,53.21,48.32,25.95,,,,,,,,,,"sat=0.59, hue=1°, size=0.28, edge=0.05, spread=0.238, adj=0.00, aspect=1.57, container=False",auto_low,0.2378,0.0026,1.565,False,tint,0.9141,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0337,1.0000,0.3303,0.0000,0.0000,0.4624,0.0000,0.7699,0.0000,0.0000
rmd_the_juicy_lasting_06,rom&nd,the_juicy_lasting,6,ピーリングエンドゥ,https://cloudflare.lipscosme.com/image/0b5c9a8f0266bf7706394504-1740115024.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415650,https://lipscosme.com/product_patterns/415650,"ブルベ夏,ブルベ冬",,39.43,48.85,23.87,,,,,,,,,,"sat=0.71, hue=356°, size=0.26, edge=0.05, spread=0.261, adj=0.00, aspect=1.55, container=False",auto_low,0.2610,0.0033,1.552,False,tint,0.9062,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0751,1.0000,0.0000,0.2642,0.0000,0.0000,0.0000,0.5806,0.0000,0.2114
rmd_the_juicy_lasting_07,rom&nd,the_juicy_lasting,7,チェリーボム,https://cloudflare.lipscosme.com/image/2dfc7bf62a2c4678ae89b21b-1731545059.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415651,https://lipscosme.com/product_patterns/415651,"ブルベ冬,イエベ・ブルベ問わず",,29.95,50.83,32.80,,,,,,,,,,"sat=0.92, hue=355°, size=0.24, edge=0.04, spread=0.254, adj=0.00, aspect=1.57, container=False",auto_low,0.2544,0.0025,1.567,False,tint,1.0000,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0000,1.0000,0.0000,0.5012,0.0000,0.0000,0.0000,0.6195,0.0000,0.4010
rmd_the_juicy_lasting_08,rom&nd,the_juicy_lasting,8,ピンクパンプキン,https://cloudflare.lipscosme.com/image/cd22929ccb2c32cd0885a9e6-1740114627.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415652,https://lipscosme.com/product_patterns/415652,"イエベ・ブルベ問わず,イエベ春",,54.41,52.59,33.64,,,,,,,,,,"sat=0.66, hue=4°, size=0.27, edge=0.05, spread=0.238, adj=0.00, aspect=1.57, container=False",auto_low,0.2380,0.0015,1.566,False,tint,1.0000,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0000,1.0000,0.3602,0.0000,0.0000,0.5043,0.0000,0.8711,0.0000,0.0000
rmd_the_juicy_lasting_09,rom&nd,the_juicy_lasting,9,マルドピーチ,https://cloudflare.lipscosme.com/image/24d182211d31699b63a7e698-1740114578.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415653,https://lipscosme.com/product_patterns/415653,イエベ春,,54.14,45.12,29.44,,,,,,,,,,"sat=0.61, hue=6°, size=0.17, edge=0.05, spread=0.232, adj=0.00, aspect=1.57, container=False",auto_low,0.2315,0.0042,1.573,False,tint,0.8979,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0000,1.0000,0.3535,0.0000,0.0000,0.4949,0.0000,0.7451,0.0000,0.0000
rmd_the_juicy_lasting_10,rom&nd,the_juicy_lasting,10,ベアアプリコット,https://cloudflare.lipscosme.com/image/43f845820ee28be2d8fafe5c-1731545097.png?auto=avif%2Cwebp&fio=1&orient=1&width=1424,415654,https://lipscosme.com/product_patterns/415654,イエベ春,,60.65,56.31,30.79,,,,,,,,,,"sat=0.61, hue=1°, size=0.24, edge=0.04, spread=0.219, adj=0.00, aspect=1.59, container=False",auto_low,0.2193,0.0004,1.585,False,tint,1.0000,1.0000,0.7000,0.2000,0.0000,0.0000,0.5000,0.6000,0.0000,1.0000,0.0298,1.0000,0.5162,0.0000,0.0000,0.7227,0.0000,1.0000,0.0000,0.0000
